nuclide,energy_keV,half_life
I-131,636.989,8.0233 (19) d
I-131,722.911,8.0233 (19) d
Xe-131m,163.93,11.930 (16) d
Te-132,49.72,3.230 (13) d
Te-132,111.81,3.230 (13) d
Te-132,116.34,3.230 (13) d
Te-132,228.327,3.230 (13) d
Ba-133,53.1622,10.540 (6) a
Ba-133,79.6142,10.540 (6) a
Ba-133,80.9979,10.540 (6) a
Ba-133,276.3989,10.540 (6) a
Ba-133,302.8508,10.540 (6) a
Ba-133,356.0129,10.540 (6) a
Ba-133,383.8485,10.540 (6) a
I-133,510.53,20.87 (8) h
I-133,529.8709,20.87 (8) h
I-133,706.575,20.87 (8) h
I-133,856.278,20.87 (8) h
I-133,875.328,20.87 (8) h
I-133,1236.443,20.87 (8) h
I-133,1298.227,20.87 (8) h
Xe-133,80.9979,5.2474 (5) d
Xe-133m,233.219,2.198 (13) d
Cs-134,475.365,2.0644 (14) a
Cs-134,563.246,2.0644 (14) a
Cs-134,569.33,2.0644 (14) a
Cs-134,604.72,2.0644 (14) a
Cs-134,795.86,2.0644 (14) a
Cs-134,801.95,2.0644 (14) a
Cs-134,1167.967,2.0644 (14) a
Cs-134,1365.194,2.0644 (14) a
Xe-135m,526.57,15.30 (3) min
Cs-137,661.657,30.05 (8) a
Ce-139,165.8575,137.641 (20) d
Ba-140,13.849,12.753 (4) d
Ba-140,29.9656,12.753 (4) d
Ba-140,162.6628,12.753 (4) d
Ba-140,304.872,12.753 (4) d
Ba-140,423.721,12.753 (4) d
Ba-140,437.569,12.753 (4) d
Ba-140,537.303,12.753 (4) d
La-140,328.761,1.67850 (17) d
La-140,432.513,1.67850 (17) d
La-140,487.022,1.67850 (17) d
La-140,751.653,1.67850 (17) d
La-140,815.781,1.67850 (17) d
La-140,867.839,1.67850 (17) d
La-140,919.533,1.67850 (17) d
La-140,925.198,1.67850 (17) d
La-140,1596.203,1.67850 (17) d
La-140,2521.39,1.67850 (17) d
Ce-141,145.4433,32.503 (11) d
Ce-144,80.12,284.91 (5) d
Ce-144,133.515,284.91 (5) d
Pr-144,696.51,17.29 (3) min
Nd-147,91.105,10.987 (11) d
Nd-147,319.411,10.987 (11) d
Nd-147,439.895,10.987 (11) d
Nd-147,531.016,10.987 (11) d
Eu-152,121.7817,13.522 (16) a
Eu-152,244.6974,13.522 (16) a
Eu-152,344.2785,13.522 (16) a
Eu-152,411.1165,13.522 (16) a
Eu-152,443.965,13.522 (16) a
Eu-152,778.9045,13.522 (16) a
Eu-152,867.38,13.522 (16) a
Eu-152,964.079,13.522 (16) a
Eu-152,1085.837,13.522 (16) a
Eu-152,1089.737,13.522 (16) a
Eu-152,1112.076,13.522 (16) a
Eu-152,1212.948,13.522 (16) a
Eu-152,1299.142,13.522 (16) a
Eu-152,1408.013,13.522 (16) a
Gd-153,69.673,240.4 (10) d
Gd-153,97.431,240.4 (10) d
Gd-153,103.18012,240.4 (10) d
Sm-153,69.673,1.92855 (5) d
Sm-153,103.18012,1.92855 (5) d
Eu-154,123.0706,8.601 (4) a
Eu-154,247.9288,8.601 (4) a
Eu-154,591.755,8.601 (4) a
Eu-154,692.4205,8.601 (4) a
Eu-154,723.3014,8.601 (4) a
Eu-154,756.802,8.601 (4) a
Eu-154,873.1834,8.601 (4) a
Eu-154,996.25,8.601 (4) a
Eu-154,1004.718,8.601 (4) a
Eu-154,1274.429,8.601 (4) a
Eu-154,1596.4804,8.601 (4) a
Eu-155,45.299,4.753 (14) a
Eu-155,60.0086,4.753 (14) a
Eu-155,86.5479,4.753 (14) a
Eu-155,105.3083,4.753 (14) a
Gd-159,58.0,18.479 (7) h
Gd-159,363.543,18.479 (7) h
Ho-166,80.5725,26.795 (29) h
Ho-166m,80.5725,1132.6 (39) a⁎⁎⁎
Ho-166m,184.4107,1132.6 (39) a⁎⁎⁎
Ho-166m,215.871,1132.6 (39) a⁎⁎⁎
Ho-166m,259.736,1132.6 (39) a⁎⁎⁎
Ho-166m,280.463,1132.6 (39) a⁎⁎⁎
Ho-166m,300.741,1132.6 (39) a⁎⁎⁎
Ho-166m,365.768,1132.6 (39) a⁎⁎⁎
Ho-166m,410.956,1132.6 (39) a⁎⁎⁎
Ho-166m,451.54,1132.6 (39) a⁎⁎⁎
Ho-166m,464.798,1132.6 (39) a⁎⁎⁎
Ho-166m,529.825,1132.6 (39) a⁎⁎⁎
Ho-166m,570.995,1132.6 (39) a⁎⁎⁎
Ho-166m,611.579,1132.6 (39) a⁎⁎⁎
Ho-166m,670.526,1132.6 (39) a⁎⁎⁎
Ho-166m,691.253,1132.6 (39) a⁎⁎⁎
Ho-166m,711.697,1132.6 (39) a⁎⁎⁎
Ho-166m,752.28,1132.6 (39) a⁎⁎⁎
Ho-166m,778.827,1132.6 (39) a⁎⁎⁎
Ho-166m,810.286,1132.6 (39) a⁎⁎⁎
Ho-166m,830.565,1132.6 (39) a⁎⁎⁎
Ho-166m,950.988,1132.6 (39) a⁎⁎⁎
Yb-169,63.12044,32.018 (5) d
Yb-169,93.61447,32.018 (5) d
Yb-169,109.77924,32.018 (5) d
Yb-169,118.1894,32.018 (5) d
Yb-169,130.52293,32.018 (5) d
Yb-169,177.21307,32.018 (5) d
Yb-169,197.95675,32.018 (5) d
Yb-169,261.07712,32.018 (5) d
Yb-169,307.73757,32.018 (5) d
Tm-170,84.25474,127.8 (6) d
Lu-176,88.36,37.6 (7) 109 a
Lu-176,201.83,37.6 (7) 109 a
Lu-176,306.84,37.6 (7) 109 a
Lu-177,112.9498,6.647 (4) d
Lu-177,208.3662,6.647 (4) d
Ta-178,93.13,9.31 (3) min
Ta-178,511.0,9.31 (3) min
Ta-178,1340.85,9.31 (3) min
Ta-178,1350.55,9.31 (3) min
Ta-182,65.72215,114.61 (13) d
Ta-182,67.7497,114.61 (13) d
Ta-182,84.68024,114.61 (13) d
Ta-182,100.10595,114.61 (13) d
Ta-182,113.6717,114.61 (13) d
Ta-182,152.42991,114.61 (13) d
Ta-182,156.3864,114.61 (13) d
Ta-182,179.39381,114.61 (13) d
Ta-182,198.35187,114.61 (13) d
Ta-182,222.1085,114.61 (13) d
Ta-182,229.3207,114.61 (13) d
Ta-182,264.074,114.61 (13) d
Ta-182,1001.6856,114.61 (13) d
Ta-182,1121.29,114.61 (13) d
Ta-182,1189.04,114.61 (13) d
Ta-182,1221.395,114.61 (13) d
Ta-182,1231.004,114.61 (13) d
Ta-182,1257.407,114.61 (13) d
Ta-182,1289.145,114.61 (13) d
Re-186,137.157,3.7186 (17) d
Re-188,155.041,17.005 (4) h
Re-188,477.992,17.005 (4) h
Re-188,632.981,17.005 (4) h
Ir-192,205.7943,73.827 (13) d
Ir-192,295.9565,73.827 (13) d
Ir-192,308.45507,73.827 (13) d
Ir-192,316.50618,73.827 (13) d
Ir-192,468.0688,73.827 (13) d
Ir-192,484.5751,73.827 (13) d
Ir-192,588.581,73.827 (13) d
Ir-192,604.41105,73.827 (13) d
Ir-192,612.4621,73.827 (13) d
Ir-194,293.541,19.3 (1) h
Ir-194,328.448,19.3 (1) h
Ir-194,645.146,19.3 (1) h
Au-195,98.882,184.7 (14) d
Au-198,411.80205,2.6944 (8) d
Tl-201,135.312,3.0421 (17) d
Tl-201,167.45,3.0421 (17) d
Hg-203,279.1952,46.594 (12) d
Pb-203,279.1952,51.929 (10) h
Pb-203,401.32,51.929 (10) h
Hg-206,304.896,8.32 (7) min
Hg-206,649.42,8.32 (7) min
Bi-207,569.698,32.9 (14) a
Bi-207,1063.656,32.9 (14) a
Bi-207,1770.228,32.9 (14) a
Tl-208,277.37,3.058 (6) min
Tl-208,510.74,3.058 (6) min
Tl-208,583.187,3.058 (6) min
Tl-208,763.45,3.058 (6) min
Tl-208,860.53,3.058 (6) min
Tl-208,2614.511,3.058 (6) min
Tl-209,117.224,2.161 (7) min
Tl-209,465.128,2.161 (7) min
Tl-209,1566.93,2.161 (7) min
Pb-210,46.539,22.23 (12) a
Tl-210,83.0,1.30 (3) min
Tl-210,97.0,1.30 (3) min
Tl-210,296.0,1.30 (3) min
Tl-210,356.0,1.30 (3) min
Tl-210,382.0,1.30 (3) min
Tl-210,480.0,1.30 (3) min
Tl-210,670.0,1.30 (3) min
Tl-210,799.6,1.30 (3) min
Tl-210,860.0,1.30 (3) min
Tl-210,910.0,1.30 (3) min
Tl-210,1070.0,1.30 (3) min
Tl-210,1110.0,1.30 (3) min
Tl-210,1210.0,1.30 (3) min
Tl-210,1310.0,1.30 (3) min
Tl-210,1410.0,1.30 (3) min
Tl-210,1490.0,1.30 (3) min
Tl-210,1540.0,1.30 (3) min
Tl-210,1590.0,1.30 (3) min
Tl-210,1650.0,1.30 (3) min
Tl-210,2010.0,1.30 (3) min
Tl-210,2090.0,1.30 (3) min
Tl-210,2280.0,1.30 (3) min
Tl-210,2360.0,1.30 (3) min
Tl-210,2430.0,1.30 (3) min
Bi-211,351.03,2.15 (2) min
Pb-211,404.834,36.1 (2) min
Pb-211,427.15,36.1 (2) min
Pb-211,831.984,36.1 (2) min
Bi-212,39.858,60.54 (6) min
Bi-212,727.33,60.54 (6) min
Bi-212,785.37,60.54 (6) min
Bi-212,1620.738,60.54 (6) min
Pb-212,238.632,10.64 (1) h
Pb-212,300.089,10.64 (1) h
Bi-213,440.44,45.59 (6) min
Bi-214,609.312,19.8 (1) min
Bi-214,665.453,19.8 (1) min
Bi-214,768.356,19.8 (1) min
Bi-214,806.174,19.8 (1) min
Bi-214,934.061,19.8 (1) min
Bi-214,1120.287,19.8 (1) min
Bi-214,1155.19,19.8 (1) min
Bi-214,1238.111,19.8 (1) min
Bi-214,1280.96,19.8 (1) min
Bi-214,1377.669,19.8 (1) min
Bi-214,1401.5,19.8 (1) min
Bi-214,1407.98,19.8 (1) min
Bi-214,1509.228,19.8 (1) min
Bi-214,1661.28,19.8 (1) min
Bi-214,1729.595,19.8 (1) min
Bi-214,1764.494,19.8 (1) min
Bi-214,1847.42,19.8 (1) min
Bi-214,2118.55,19.8 (1) min
Bi-214,2204.21,19.8 (1) min
Bi-214,2447.86,19.8 (1) min
Pb-214,53.2275,26.916 (44) min
Pb-214,241.997,26.916 (44) min
Pb-214,295.224,26.916 (44) min
Pb-214,351.932,26.916 (44) min
Pb-214,785.96,26.916 (44) min
Bi-215,271.228,7.6 (2) min
Bi-215,293.56,7.6 (2) min
Bi-215,517.6,7.6 (2) min
Bi-215,1105.2,7.6 (2) min
Rn-219,271.228,3.98 (3) s
Rn-219,401.81,3.98 (3) s
Fr-221,218.12,4.79 (2) min
Fr-223,20.27,22.00 (7) min
Fr-223,49.8,22.00 (7) min
Fr-223,50.1,22.00 (7) min
Fr-223,79.65,22.00 (7) min
Fr-223,234.7,22.00 (7) min
Ra-223,122.319,11.43 (3) d
Ra-223,144.27,11.43 (3) d
Ra-223,154.208,11.43 (3) d
Ra-223,269.463,11.43 (3) d
Ra-223,323.871,11.43 (3) d
Ra-223,338.282,11.43 (3) d
Ra-223,445.033,11.43 (3) d
Ra-224,240.986,3.631 (2) d
Ac-225,99.89,10.0 (1) d
Ra-225,40.09,14.82 (19) d
Ra-226,186.211,1600 (7) a
Ac-228,99.505,6.15 (3) h
Ac-228,129.065,6.15 (3) h
Ac-228,209.248,6.15 (3) h
Ac-228,270.245,6.15 (3) h
Ac-228,328.004,6.15 (3) h
Ac-228,338.32,6.15 (3) h
Ac-228,409.46,6.15 (3) h
Ac-228,463.002,6.15 (3) h
Ac-228,755.313,6.15 (3) h
Ac-228,772.291,6.15 (3) h
Ac-228,794.942,6.15 (3) h
Ac-228,835.704,6.15 (3) h
Ac-228,911.196,6.15 (3) h
Ac-228,964.786,6.15 (3) h
Ac-228,968.96,6.15 (3) h
Ac-228,1588.2,6.15 (3) h
Ac-228,1630.618,6.15 (3) h
Ra-228,13.52,5.75 (4) a
Th-228,84.373,698.55 (32) d
Pa-231,27.37,32670 (260) a
Pa-231,283.69,32670 (260) a
Pa-231,300.06,32670 (260) a
Pa-231,302.67,32670 (260) a
Pa-231,330.04,32670 (260) a
Th-231,25.64,25.52 (1) h
Th-231,84.214,25.52 (1) h
Th-231,89.95,25.52 (1) h
Pa-233,75.269,26.98 (2) d
Pa-233,86.595,26.98 (2) d
Pa-233,300.129,26.98 (2) d
Pa-233,311.904,26.98 (2) d
Pa-233,340.476,26.98 (2) d
Pa-233,398.492,26.98 (2) d
Pa-233,415.764,26.98 (2) d
Th-233,29.373,22.15 (8) min
Th-233,86.477,22.15 (8) min
Pa-234,62.7,6.70 (5) h
Pa-234,99.86,6.70 (5) h
Pa-234,131.3,6.70 (5) h
Pa-234,152.71,6.70 (5) h
Pa-234,186.15,6.70 (5) h
Pa-234,203.12,6.70 (5) h
Pa-234,226.5,6.70 (5) h
Pa-234,227.25,6.70 (5) h
Pa-234,249.22,6.70 (5) h
Pa-234,272.28,6.70 (5) h
Pa-234,293.79,6.70 (5) h
Pa-234,369.5,6.70 (5) h
Pa-234,372.0,6.70 (5) h
Pa-234,458.68,6.70 (5) h
Pa-234,506.75,6.70 (5) h
Pa-234,565.2,6.70 (5) h
Pa-234,568.9,6.70 (5) h
Pa-234,569.5,6.70 (5) h
Pa-234,666.5,6.70 (5) h
Pa-234,669.7,6.70 (5) h
Pa-234,692.6,6.70 (5) h
Pa-234,699.03,6.70 (5) h
Pa-234,705.9,6.70 (5) h
Pa-234,733.39,6.70 (5) h
Pa-234,738.0,6.70 (5) h
Pa-234,742.813,6.70 (5) h
Pa-234,755.0,6.70 (5) h
Pa-234,786.272,6.70 (5) h
Pa-234,796.1,6.70 (5) h
Pa-234,805.8,6.70 (5) h
Pa-234,819.2,6.70 (5) h
Pa-234,824.2,6.70 (5) h
Pa-234,825.1,6.70 (5) h
Pa-234,831.5,6.70 (5) h
