nuclide,half_life,energy_keV,intensity_percent,icc_T
Sb-127,3.85 (7) d,721.5,1.77,3.09 (5) 10−3
Sb-127,3.85 (7) d,782.6,14.7,3.19 (5) 10−3
Xe-127,36.375 (20) d,57.608,1.274,3.72 (6)
Xe-127,36.375 (20) d,145.252,4.23,0.471 (7)
Xe-127,36.375 (20) d,172.132,25.53,0.1650 (24)
Xe-127,36.375 (20) d,202.86,68.45,0.1131 (18)
Xe-127,36.375 (20) d,374.991,17.26,1.99 (3) 10−2
I-129,16.1 (7) 106 a,39.578,7.42,12.41 (13)
I-131,8.0233 (19) d,80.185,2.607,1.579 (47)
I-131,8.0233 (19) d,284.305,6.06,5.00 (15) 10−2
I-131,8.0233 (19) d,364.489,81.2,2.29 (7) 10−2
I-131,8.0233 (19) d,636.989,7.26,4.74 (14) 10−3
I-131,8.0233 (19) d,722.911,1.796,4.61 (14) 10−3
Xe-131m,11.930 (16) d,163.93,1.98,49.6 (15)
Te-132,3.230 (13) d,49.72,15.1,5.62 (8)
Te-132,3.230 (13) d,111.81,1.85,0.71 (3)
Te-132,3.230 (13) d,116.34,1.97,0.606 (20)
Te-132,3.230 (13) d,228.327,88.12,9.90 (14) 10−2
Ba-133,10.540 (6) a,53.1622,2.14,6.02 (18)
Ba-133,10.540 (6) a,79.6142,2.65,1.77 (4)
Ba-133,10.540 (6) a,80.9979,32.9,1.74 (4)
Ba-133,10.540 (6) a,276.3989,7.16,5.69 (12) 10−2
Ba-133,10.540 (6) a,302.8508,18.34,4.43 (9) 10−2
Ba-133,10.540 (6) a,356.0129,62.05,2.56 (5) 10−2
Ba-133,10.540 (6) a,383.8485,8.94,2.03 (4) 10−2
I-133,20.87 (8) h,510.53,1.81,<NA>
I-133,20.87 (8) h,529.8709,86.3,8.10 (14) 10−3
I-133,20.87 (8) h,706.575,1.49,4.2 (6) 10−3
I-133,20.87 (8) h,856.278,1.23,2.35 (3) 10−3
I-133,20.87 (8) h,875.328,4.47,2.18 (3) 10−3
I-133,20.87 (8) h,1236.443,1.49,<NA>
I-133,20.87 (8) h,1298.227,2.33,9.72 (14) 10−4
Xe-133,5.2474 (5) d,80.9979,37.0,1.698 (24)
Xe-133m,2.198 (13) d,233.219,10.16,8.84 (13)
Cs-134,2.0644 (14) a,475.365,1.479,1.14 (5) 10−2
Cs-134,2.0644 (14) a,563.246,8.342,7.14 (10) 10−3
Cs-134,2.0644 (14) a,569.33,15.368,9.36 (14) 10−3
Cs-134,2.0644 (14) a,604.72,97.63,5.93 (9) 10−3
Cs-134,2.0644 (14) a,795.86,85.47,3.02 (5) 10−3
Cs-134,2.0644 (14) a,801.95,8.694,2.97 (5) 10−3
Cs-134,2.0644 (14) a,1167.967,1.791,1.307 (19) 10−3
Cs-134,2.0644 (14) a,1365.194,3.019,9.87 (14) 10−4
Xe-135m,15.30 (3) min,526.57,80.84,0.237 (3)
Cs-137,30.05 (8) a,661.657,84.99,0.1102 (19)
Ce-139,137.641 (20) d,165.8575,79.9,0.2516 (7)
Ba-140,12.753 (4) d,13.849,1.15,56.6 (11)
Ba-140,12.753 (4) d,29.9656,14.32,5.55 (11)
Ba-140,12.753 (4) d,162.6628,6.26,0.282 (6)
Ba-140,12.753 (4) d,304.872,4.3,5.19 (10) 10−2
Ba-140,12.753 (4) d,423.721,3.11,2.22 (4) 10−2
Ba-140,12.753 (4) d,437.569,1.927,2.05 (4) 10−2
Ba-140,12.753 (4) d,537.303,24.39,1.22 (2) 10−2
La-140,1.67850 (17) d,328.761,20.8,4.64 (14) 10−2
La-140,1.67850 (17) d,432.513,2.995,2.14 (7) 10−2
La-140,1.67850 (17) d,487.022,46.1,1.17 (4) 10−2
La-140,1.67850 (17) d,751.653,4.392,5.64 (17) 10−3
La-140,1.67850 (17) d,815.781,23.72,4.82 (14) 10−3
La-140,1.67850 (17) d,867.839,5.58,1.14 (4) 10−3
La-140,1.67850 (17) d,919.533,2.73,2.590 (9) 10−2
La-140,1.67850 (17) d,925.198,7.04,3.57 (11) 10−3
La-140,1.67850 (17) d,1596.203,95.4,7.9 (2) 10−4
La-140,1.67850 (17) d,2521.39,3.412,3.37 (10) 10−4
Ce-141,32.503 (11) d,145.4433,48.29,0.449 (7)
Ce-144,284.91 (5) d,80.12,1.36,2.50 (3)
