x0000,y0000
470.4918032787,28.
473.7704918033,42.
477.0491803279,36.
480.3278688525,37.
483.6065573770,39.
486.8852459016,26.
490.1639344262,28.
493.4426229508,32.
496.7213114754,21.
500.,40.
503.2786885246,111.
506.5573770492,42.
509.8360655738,18.
513.1147540984,23.
516.393442623,16.
519.6721311475,15.
522.9508196721,16.
526.2295081967,23.
529.5081967213,15.
532.7868852459,17.
536.0655737705,14.
539.3442622951,14.
542.6229508197,18.
545.9016393443,10.
549.1803278689,13.
552.4590163934,19.
555.7377049180,9.
559.0163934426,15.
562.2950819672,12.
565.5737704918,15.
568.8524590164,11.
572.131147541,32.
575.4098360656,58.
578.6885245902,46.
581.9672131148,9.
585.2459016393,10.
588.5245901639,6.
591.8032786885,10.
595.0819672131,7.
598.3606557377,4.
601.6393442623,8.
604.9180327869,11.
608.1967213115,6.
611.4754098361,10.
614.7540983607,4.
618.0327868852,10.
621.3114754098,11.
624.5901639344,9.
627.8688524590,9.
631.1475409836,8.
634.4262295082,5.
637.7049180328,5.
640.9836065574,4.
644.262295082,7.
647.5409836066,5.
650.8196721311,6.
654.0983606557,5.
657.3770491803,10.
660.6557377049,3.
663.9344262295,10.
667.2131147541,11.
670.4918032787,8.
673.7704918033,6.
677.0491803279,4.
680.3278688525,7.
683.6065573770,4.
686.8852459016,7.
690.1639344262,11.
693.4426229508,5.
696.7213114754,6.
700.,7.
703.2786885246,7.
706.5573770492,6.
709.8360655738,4.
713.1147540984,2.
716.393442623,3.
719.6721311475,4.
722.9508196721,4.
726.2295081967,5.
729.5081967213,3.
732.7868852459,5.
736.0655737705,3.
739.3442622951,1.
742.6229508197,6.
745.9016393443,10.
749.1803278689,6.
752.4590163934,5.
755.7377049180,4.
759.0163934426,5.
762.2950819672,3.
765.5737704918,4.
768.8524590164,6.
772.131147541,2.
775.4098360656,3.
778.6885245902,6.
781.9672131148,3.
785.2459016393,5.
788.5245901639,1.
791.8032786885,9.
795.0819672131,4.
798.3606557377,3.
801.6393442623,0.
804.9180327869,5.
808.1967213115,9.
811.4754098361,3.
814.7540983607,6.
818.0327868852,2.
821.3114754098,3.
824.5901639344,4.
827.8688524590,3.
831.1475409836,5.
834.4262295082,6.
837.7049180328,3.
840.9836065574,4.
844.262295082,1.
847.5409836066,5.
850.8196721311,7.
854.0983606557,3.
857.3770491803,1.
860.6557377049,6.
863.9344262295,5.
867.2131147541,8.
870.4918032787,2.
873.7704918033,4.
877.0491803279,3.
880.3278688525,6.
883.6065573770,6.
886.8852459016,9.
890.1639344262,2.
893.4426229508,6.
896.7213114754,2.
900.,4.
903.2786885246,2.
906.5573770492,2.
909.8360655738,2.
913.1147540984,6.
916.393442623,4.
919.6721311475,4.
922.9508196721,4.
926.2295081967,4.
929.5081967213,1.
932.7868852459,4.
936.0655737705,7.
939.3442622951,3.
942.6229508197,5.
945.9016393443,2.
949.1803278689,2.
952.4590163934,3.
955.7377049180,4.
959.0163934426,4.
962.2950819672,3.
965.5737704918,3.
968.8524590164,6.
972.131147541,2.
975.4098360656,1.
978.6885245902,2.
981.9672131148,3.
985.2459016393,2.
988.5245901639,0.
991.8032786885,0.
995.0819672131,1.
998.3606557377,3.
